,TYPE,STREET NAME,POSTCODE,LIVING_AREA,ROOMS,LogOfPrice
0,1.0,St,5645,71.0,3.0,7.110696122978827
1,1.0,Limburglaan,5616,52.0,2.0,6.902742737158593
2,1.0,Limburglaan,5616,51.0,2.0,6.956545443151569
3,1.0,Welschapsedijk,5652,75.0,3.0,6.932447891572509
4,1.0,De,5611,73.0,2.0,7.002155954403621
5,1.0,De,5611,91.0,3.0,7.1785454837637
6,3.0,Mathijsenlaan,5644,165.0,7.0,7.955074273262696
7,1.0,Le,5615,63.0,2.0,7.090076835776092
8,1.0,Kerkakkerstraat,5616,55.0,2.0,6.975413927455952
9,1.0,Hertogstraat,5611,100.0,3.0,7.090076835776092
10,1.0,Vrijstraat,5611,90.0,2.0,7.4673710669175595
11,2.0,Schootsestraat,5616,10.0,1.0,6.09807428216624
12,1.0,Jeroen,5642,75.0,3.0,7.085901464365611
13,1.0,De,5612,20.0,2.0,6.0473721790462776
14,1.0,Bomansplaats,5611,19.0,2.0,6.300785794663244
15,1.0,Emmasingel,5611,135.0,3.0,7.824046010856292
16,1.0,Geldropseweg,5611,75.0,3.0,7.085901464365611
17,1.0,Limburglaan,5616,50.0,2.0,6.6895992691789665
18,1.0,Kruisstraat,5612,39.0,1.0,6.796823718274855
19,1.0,St,5614,18.0,1.0,6.51471269087253
20,1.0,Trompstraat,5612,80.0,3.0,7.29641326877392
21,1.0,GabriÃ«l,5611,63.0,3.0,7.038783541388542
22,1.0,Aalsterweg,5615,45.0,2.0,6.678342114654332
23,3.0,Jacob,5611,169.0,7.0,8.411832675758411
24,2.0,Eckartseweg,5623,10.0,1.0,5.886104031450156
25,1.0,Hertogstraat,5611,100.0,1.0,7.090076835776092
26,1.0,Jeroen,5613,40.0,2.0,6.620073206530356
27,1.0,De,5611,91.0,3.0,7.207118856207756
28,2.0,Julianastraat,5611,12.0,1.0,5.926926025970411
29,1.0,Margrietstraat,5643,20.0,1.0,6.529418838262226
30,2.0,Leenderweg,5615,12.0,1.0,6.028278520230698
31,1.0,Bomanshof,5611,108.0,2.0,7.3031700512368
32,3.0,Hoogstraat,5654,119.0,5.0,7.29641326877392
33,1.0,Meerring,5658,80.0,3.0,7.1308988302963465
34,1.0,Stratumsedijk,5611,56.0,3.0,7.2078598714324755
35,3.0,Scheidingstraat,5654,100.0,3.0,7.166265974133638
36,1.0,Marconilaan,5612,35.0,2.0,6.684611727667927
37,1.0,Bomanshof,5611,63.0,2.0,7.138866999945524
38,1.0,Bomanshof,5611,79.0,2.0,7.233455418621439
39,1.0,Bomanshof,5611,63.0,2.0,7.138866999945524
40,1.0,Bomanshof,5611,108.0,2.0,7.3031700512368
41,1.0,Bomanshof,5611,54.0,2.0,6.984716320118266
42,1.0,Bomanshof,5611,50.0,2.0,7.003065458786462
43,1.0,Bomanshof,5611,63.0,2.0,7.138866999945524
44,1.0,Bomanshof,5611,86.0,2.0,7.286191714702382
45,1.0,Kruisstraat,5612,45.0,2.0,6.856461984594587
46,1.0,Franklin,5625,60.0,3.0,6.762729506931879
47,2.0,Chrysantenstraat,5644,12.0,1.0,5.541263545158426
48,1.0,Aalsterweg,5615,75.0,3.0,7.438383530044307
49,1.0,Geldropseweg,5611,29.0,1.0,6.4692503167957724
50,1.0,Geldropseweg,5611,29.0,1.0,6.543911845564792
51,1.0,Jan,5642,18.0,1.0,6.075346031088684
52,3.0,Kees,5622,120.0,5.0,7.275864600546533
53,2.0,Frederika,5616,14.0,1.0,6.142037405587356
54,1.0,Stevinstraat,5621,28.0,1.0,6.678342114654332
55,1.0,Leenderweg,5644,48.0,2.0,6.907755278982137
56,1.0,Blaarthemseweg,5654,45.0,2.0,6.774223886357614
57,1.0,Boschdijk,5612,20.0,1.0,6.327936783729195
58,1.0,Boschdijk,5612,21.0,1.0,6.345636360828596
59,1.0,Sophia,5616,40.0,2.0,6.626717749249025
60,1.0,Hoogstraat,5654,42.0,1.0,6.829793737512425
61,1.0,Treurenburgstraat,5613,78.0,4.0,7.047517221357296
62,1.0,Kalmoesplein,5643,121.0,4.0,7.52294091807237
63,1.0,St,5614,55.0,2.0,6.851184927493743
64,1.0,Tongelresestraat,5613,70.0,1.0,6.877296071497429
65,1.0,Aalsterweg,5615,50.0,2.0,6.678342114654332
66,1.0,Kruisstraat,5612,46.0,2.0,6.745236349484363
67,1.0,Keizersgracht,5611,84.0,2.0,6.9985096422506015
68,1.0,Bleekstraat,5611,52.0,2.0,7.069023426578259
69,1.0,Emmasingel,5611,135.0,3.0,7.824046010856292
70,1.0,Winkelcentrum,5625,110.0,3.0,7.4673710669175595
71,1.0,De,5611,91.0,3.0,7.210079628170788
72,1.0,De,5611,91.0,3.0,7.183870715062453
73,3.0,Bolestein,5653,147.0,5.0,7.346010209913293
74,3.0,Nabucco,5629,100.0,4.0,7.170119543449628
75,1.0,Jan,5611,90.0,2.0,7.3031700512368
76,1.0,Jan,5611,90.0,3.0,7.2078598714324755
77,1.0,Gestelsestraat,5615,61.0,2.0,7.1308988302963465
78,1.0,Maalakker,5625,75.0,3.0,7.126890808898808
79,1.0,Borchmolen,5612,100.0,3.0,7.27931883541462
80,1.0,Pastoor,5612,75.0,3.0,7.047517221357296
81,1.0,Schootsestraat,5616,45.0,2.0,6.745236349484363
82,1.0,Pastoor,5622,56.0,2.0,6.543911845564792
83,1.0,Franz,5654,35.0,2.0,6.980075940561763
84,1.0,Bredalaan,5652,75.0,3.0,7.3098814858247865
85,1.0,Cornelis,5654,25.0,1.0,6.579251212010101
86,1.0,Philitelaan,5617,135.0,5.0,7.549609165154532
87,3.0,Frans,5613,85.0,3.0,7.166265974133638
88,3.0,Vrijkensven,5646,121.0,5.0,6.993932975223189
89,3.0,Vrijkensven,5646,130.0,5.0,7.090076835776092
